UsbSMU Set Voltage,UsbSMU Set Current Min,UsbSMU Set Current Max,UsbSMU Meas ADC Voltage,UsbSMU Meas ADC Current,UsbSMU Meas Voltage,UsbSMU Meas Current
12,-0.1,0.0,42520.0,58597.0,0.21530838310718536,0.020471518859267235
12,-0.1,0.025,76767.0,146239.0,0.45114582777023315,0.04431076720356941
12,-0.1,0.05,110684.0,233759.0,0.6847108006477356,0.06812164932489395
12,-0.1,0.075,145223.0,322560.0,0.9225590229034424,0.09227945655584335
12,-0.1,0.1,179637.0,410970.0,1.1595464944839478,0.11632915586233139
12,-0.1,0.125,213813.0,498451.0,1.3949018716812134,0.14012539386749268
12,-0.1,0.15000000000000002,247714.0,585706.0,1.628349781036377,0.16386304795742035
12,-0.1,0.17500000000000002,281962.0,673775.0,1.8641941547393799,0.1878218799829483
12,-0.1,0.2,316203.0,761598.0,2.100017786026001,0.21171119809150696
12,-0.1,0.225,350351.0,849277.0,2.335145950317383,0.23556262254714966
12,-0.1,0.25,384411.0,936675.0,2.569695472717285,0.2593366801738739
12,-0.1,0.275,419648.0,1026698.0,2.8123505115509033,0.2838231027126312
12,-0.1,0.30000000000000004,454992.0,1117797.0,3.0557422637939453,0.30860695242881775
12,-0.1,0.325,490020.0,1207555.0,3.2969579696655273,0.3330216109752655
12,-0.1,0.35000000000000003,524535.0,1295815.0,3.5346410274505615,0.3570290207862854
12,-0.1,0.375,559027.0,1384149.0,3.772165536880493,0.3810877203941345
12,-0.1,0.4,593318.0,1472057.0,4.008306503295898,0.4049686789512634
12,-0.1,0.42500000000000004,627782.0,1560330.0,4.245637893676758,0.4289805591106415
12,-0.1,0.45,662562.0,1649152.0,4.485145568847656,0.4531390964984894
12,-0.1,0.47500000000000003,697190.0,1737948.0,4.723607063293457,0.4772927463054657
12,-0.1,0.5,731513.0,1825836.0,4.959830284118652,0.5012000799179077
12,-0.1,0.525,765823.0,1913538.0,5.196239471435547,0.5250542759895325
12,-0.1,0.55,799592.0,2000130.0,5.4287848472595215,0.5486065149307251
12,-0.1,0.5750000000000001,833554.0,2087597.0,5.662659645080566,0.5724036693572998
12,-0.1,0.6000000000000001,857850.0,2176137.0,5.8299713134765625,0.596693754196167
12,-0.1,0.625,904136.0,2264976.0,6.148713111877441,0.6206275224685669
12,-0.1,0.65,938947.0,2354820.0,6.388434886932373,0.6450672149658203
12,-0.1,0.675,974154.0,2445046.0,6.631096363067627,0.6696133613586426
12,-0.1,0.7000000000000001,1009944.0,2536553.0,6.877346038818359,0.6945036053657532
12,-0.1,0.7250000000000001,1045933.0,2628071.0,7.125179767608643,0.7193923592567444
12,-0.1,0.75,1079564.0,2714804.0,7.356774806976318,0.7429893612861633
12,-0.1,0.775,1118518.0,2801608.0,7.625026702880859,0.7665005922317505
12,-0.1,0.8,1153541.0,2890143.0,7.866208076477051,0.7905728220939636
12,-0.1,0.8250000000000001,1188477.0,2978334.0,8.106790542602539,0.8145527839660645
12,-0.1,0.8500000000000001,1222942.0,3065400.0,8.34444522857666,0.8382247090339661
12,-0.1,0.875,1257266.0,3152179.0,8.580496788024902,0.8618215322494507
12,-0.1,0.9,1291741.0,3239324.0,8.817904472351074,0.8855170011520386
12,-0.1,0.925,1326020.0,3326125.0,9.053962707519531,0.9091207981109619
12,-0.1,0.9500000000000001,1360416.0,3413372.0,9.290825843811035,0.9328429698944092
12,-0.1,0.9750000000000001,1396116.0,3503346.0,9.53666877746582,0.9573081135749817
12,-0.1,1.0,1430870.0,3591907.0,9.77599811553955,0.9813807010650635
12,-0.1,0.975,1395948.0,3503340.0,9.53551197052002,0.9573106169700623
12,-0.1,0.95,1360242.0,3413210.0,9.289627075195312,0.932803750038147
12,-0.1,0.925,1325750.0,3325983.0,9.052103042602539,0.9090869426727295
12,-0.1,0.9,1291321.0,3239306.0,8.815011978149414,0.8855200409889221
12,-0.1,0.875,1256864.0,3152195.0,8.577728271484375,0.8618341684341431
12,-0.1,0.85,1222506.0,3065405.0,8.341126441955566,0.8382347226142883
12,-0.1,0.825,1188021.0,2978292.0,8.103650093078613,0.8145498037338257
12,-0.1,0.7999999999999999,1153096.0,2890132.0,7.863143444061279,0.790579080581665
12,-0.1,0.775,1118047.0,2801528.0,7.621783256530762,0.7664871215820312
12,-0.1,0.75,1083643.0,2714783.0,7.384864807128906,0.7429020404815674
12,-0.1,0.725,1049344.0,2628121.0,7.1486687660217285,0.7193382382392883
12,-0.1,0.7,1013036.0,2536590.0,6.898638725280762,0.694452166557312
12,-0.1,0.6749999999999999,976727.0,2445008.0,6.648064613342285,0.6695535778999329
12,-0.1,0.65,940960.0,2354928.0,6.402296543121338,0.6450611352920532
12,-0.1,0.625,905390.0,2265038.0,6.1573486328125,0.6206195950508118
12,-0.1,0.6,870134.0,2176147.0,5.914563179016113,0.5964686274528503
12,-0.1,0.575,835064.0,2087641.0,5.673058032989502,0.5723872184753418
12,-0.1,0.5499999999999999,800342.0,2000144.0,5.4339494705200195,0.548598051071167
12,-0.1,0.525,765949.0,1913514.0,5.197106838226318,0.5250450372695923
12,-0.1,0.49999999999999994,731195.0,1825696.0,4.957777976989746,0.5011677742004395
12,-0.1,0.475,696363.0,1737993.0,4.717912197113037,0.47732245922088623
12,-0.1,0.44999999999999996,661100.0,1649190.0,4.475078105926514,0.45317894220352173
12,-0.1,0.425,625889.0,1560282.0,4.232602119445801,0.42902711033821106
12,-0.1,0.39999999999999997,590612.0,1471954.0,3.989671468734741,0.40499547123908997
12,-0.1,0.37499999999999994,555518.0,1384235.0,3.7480013370513916,0.38115090131759644
12,-0.1,0.35,520125.0,1295862.0,3.504271984100342,0.35711267590522766
12,-0.1,0.32499999999999996,484752.0,1207447.0,3.260680675506592,0.3330974280834198
12,-0.1,0.29999999999999993,448662.0,1117755.0,3.0121517181396484,0.3087216913700104
12,-0.1,0.27499999999999997,419363.0,1026515.0,2.8103880882263184,0.2837776839733124
12,-0.1,0.24999999999999994,384317.0,936606.0,2.5690484046936035,0.25931963324546814
12,-0.1,0.22499999999999995,350338.0,849321.0,2.3350565433502197,0.23557373881340027
12,-0.1,0.19999999999999996,316098.0,761632.0,2.0992672443389893,0.2117200791835785
12,-0.1,0.17499999999999996,282056.0,673727.0,1.8649585247039795,0.18780586123466492
12,-0.1,0.14999999999999994,247722.0,585684.0,1.6284048557281494,0.16385728120803833
12,-0.1,0.12499999999999994,213866.0,498555.0,1.395259976387024,0.1401534378528595
12,-0.1,0.09999999999999995,179759.0,410847.0,1.1603866815567017,0.11629211902618408
12,-0.1,0.07499999999999994,145408.0,322573.0,0.9239087700843811,0.09227918833494186
12,-0.1,0.04999999999999995,110972.0,233770.0,0.6866940259933472,0.06811930984258652
12,-0.1,0.024999999999999946,76837.0,146326.0,0.4516278803348541,0.04433055594563484
