set_voltage,set_current_min,set_current_max,adc_voltage,adc_current,meas_voltage,meas_current
5.6,-0.5,0.5,657949,339,5.5995,0.00324
5.65,-0.5,0.5,664001,338,5.6508,0.00323
5.7,-0.5,0.5,670026,363,5.7019,0.00326
5.75,-0.5,0.5,673998,364,5.7355,0.00326
5.8,-0.5,0.5,679977,315,5.7862,0.00322
5.85,-0.5,0.5,686093,307,5.8381,0.00321
5.9,-0.5,0.5,692156,327,5.8895,0.00323
5.95,-0.5,0.5,698192,322,5.9407,0.00319
6.0,-0.5,0.5,704227,276,5.9918,0.00318
6.05,-0.5,0.5,710329,273,6.0439,0.00318
6.1,-0.5,0.5,714351,299,6.0777,0.00321
6.15,-0.5,0.5,720544,266,6.1298,0.00317
6.2,-0.5,0.5,726580,270,6.1814,0.00318
6.25,-0.5,0.5,732585,248,6.2323,0.00317
6.3,-0.5,0.5,738702,233,6.2840,0.00316
6.35,-0.5,0.5,744772,221,6.3359,0.00314
6.4,-0.5,0.5,748766,238,6.3695,0.00314
6.45,-0.5,0.5,754971,233,6.4221,0.00315
6.5,-0.5,0.5,760854,232,6.4723,0.00315
6.55,-0.5,0.5,767034,167,6.5244,0.00310
6.6,-0.5,0.5,773567,191,6.5798,0.00311
6.65,-0.5,0.5,779810,143,6.6329,0.00307
6.7,-0.5,0.5,786081,184,6.6866,0.00310
6.75,-0.5,0.5,790250,146,6.7212,0.00307
6.8,-0.5,0.5,796470,147,6.7740,0.00307
6.85,-0.5,0.5,802822,144,6.8279,0.00307
6.9,-0.5,0.5,809083,116,6.8812,0.00304
6.95,-0.5,0.5,815402,123,6.9341,0.00305
7.0,-0.5,0.5,821697,128,6.9879,0.00305
7.05,-0.5,0.5,827974,110,7.0411,0.00304
7.1,-0.5,0.5,832112,101,7.0762,0.00305
7.15,-0.5,0.5,838412,78,7.1296,0.00304
7.2,-0.5,0.5,844755,136,7.1834,0.00306
7.25,-0.5,0.5,851020,115,7.2365,0.00304
7.3,-0.5,0.5,857287,106,7.2896,0.00303
7.35,-0.5,0.5,863532,122,7.3426,0.00305
7.4,-0.5,0.5,869699,112,7.3950,0.00304
7.45,-0.5,0.5,873859,88,7.4301,0.00302
7.5,-0.5,0.5,880079,102,7.4829,0.00303
7.55,-0.5,0.5,886331,73,7.5359,0.00300
7.6,-0.5,0.5,892531,79,7.5889,0.00301
7.65,-0.5,0.5,898915,50,7.6430,0.00298
7.7,-0.5,0.5,905357,66,7.6977,0.00300
7.75,-0.5,0.5,911551,18,7.7497,0.00296
7.8,-0.5,0.5,915694,41,7.7848,0.00298
7.85,-0.5,0.5,921846,13,7.8370,0.00295
7.9,-0.5,0.5,927956,-11,7.8888,0.00293
7.95,-0.5,0.5,934090,5,7.9408,0.00294
8.0,-0.5,0.5,940265,-32,7.9932,0.00291
8.05,-0.5,0.5,946355,26,8.0448,0.00296
8.1,-0.5,0.5,950504,-35,8.0799,0.00291
8.15,-0.5,0.5,956641,-12,8.1317,0.00293
8.2,-0.5,0.5,962791,-16,8.1838,0.00293
8.25,-0.5,0.5,969096,-38,8.2377,0.00291
8.3,-0.5,0.5,975255,-6,8.2899,0.00293
8.35,-0.5,0.5,981475,-44,8.3426,0.00289
8.4,-0.5,0.5,987729,-93,8.3955,0.00286
8.45,-0.5,0.5,991830,-82,8.4300,0.00287
8.5,-0.5,0.5,998019,-49,8.4829,0.00290
8.55,-0.5,0.5,1004212,-54,8.5353,0.00289
8.6,-0.5,0.5,1010332,-49,8.5873,0.00290
8.65,-0.5,0.5,1016490,-67,8.6391,0.00288
8.7,-0.5,0.5,1022737,-8,8.6925,0.00293
8.75,-0.5,0.5,1028865,-68,8.7439,0.00288
8.8,-0.5,0.5,1032958,-74,8.7795,0.00287
8.85,-0.5,0.5,1039656,-89,8.8352,0.00286
8.9,-0.5,0.5,1045899,-109,8.8887,0.00284
8.95,-0.5,0.5,1052363,-50,8.9436,0.00290
9.0,-0.5,0.5,1058727,-136,8.9976,0.00282
9.05,-0.5,0.5,1065076,-100,9.0514,0.00287
9.1,-0.5,0.5,1071504,-111,9.1059,0.00284
9.15,-0.5,0.5,1075679,-113,9.1413,0.00284
9.2,-0.5,0.5,1081997,-110,9.1949,0.00284
9.25,-0.5,0.5,1088501,-135,9.2501,0.00282
9.3,-0.5,0.5,1094868,-153,9.3040,0.00280
9.35,-0.5,0.5,1101331,-182,9.3588,0.00281
9.4,-0.5,0.5,1107640,-164,9.4123,0.00281
9.45,-0.5,0.5,1111837,-196,9.4479,0.00282
9.5,-0.5,0.5,1118213,-153,9.5020,0.00280
9.55,-0.5,0.5,1124615,-190,9.5562,0.00277
9.6,-0.5,0.5,1130846,-175,9.6091,0.00278
9.65,-0.5,0.5,1137262,-145,9.6635,0.00281
9.7,-0.5,0.5,1143543,-174,9.7168,0.00279
9.75,-0.5,0.5,1149793,-206,9.7697,0.00276
9.8,-0.5,0.5,1154057,-195,9.8059,0.00277
9.85,-0.5,0.5,1160425,-224,9.8599,0.00274
9.9,-0.5,0.5,1166867,-189,9.9143,0.00277
9.95,-0.5,0.5,1173197,-206,9.9683,0.00276
10.0,-0.5,0.5,1179306,-162,10.0200,0.00279
10.05,-0.5,0.5,1185421,-239,10.0718,0.00273
10.1,-0.5,0.5,1191402,-193,10.1225,0.00277
10.15,-0.5,0.5,1195455,-220,10.1569,0.00274
10.2,-0.5,0.5,1201354,-230,10.2069,0.00273
10.25,-0.5,0.5,1207442,-259,10.2585,0.00271
10.3,-0.5,0.5,1213438,-236,10.3094,0.00273
10.35,-0.5,0.5,1219590,-206,10.3615,0.00276
10.4,-0.5,0.5,1225540,-247,10.4121,0.00273
10.45,-0.5,0.5,1231609,-249,10.4634,0.00272
10.5,-0.5,0.5,1235688,-227,10.4980,0.00274
10.55,-0.5,0.5,1241812,-275,10.5500,0.00274
10.6,-0.5,0.5,1247945,-274,10.6020,0.00269
10.65,-0.5,0.5,1254013,-265,10.6534,0.00270
10.7,-0.5,0.5,1259968,-281,10.7040,0.00269
10.75,-0.5,0.5,1266073,-271,10.7557,0.00270
10.8,-0.5,0.5,1272101,-304,10.8068,0.00270
10.85,-0.5,0.5,1276180,-289,10.8414,0.00268
10.9,-0.5,0.5,1282184,-290,10.8923,0.00268
10.95,-0.5,0.5,1288284,-308,10.9440,0.00267
11.0,-0.5,0.5,1294300,-287,10.9950,0.00269
11.05,-0.5,0.5,1300639,-317,11.0487,0.00266
11.1,-0.5,0.5,1306970,-288,11.1024,0.00268
11.15,-0.5,0.5,1311077,-306,11.1372,0.00269
11.2,-0.5,0.5,1317331,-298,11.1903,0.00270
11.25,-0.5,0.5,1323644,-288,11.2438,0.00268
11.3,-0.5,0.5,1329877,-335,11.2956,0.00264
11.35,-0.5,0.5,1336086,-289,11.3493,0.00268
11.4,-0.5,0.5,1342345,-331,11.4024,0.00265
11.45,-0.5,0.5,1348699,-304,11.4562,0.00267
11.5,-0.5,0.5,1352863,-388,11.4915,0.00260
11.55,-0.5,0.5,1359168,-392,11.5450,0.00259
11.6,-0.5,0.5,1365534,-380,11.5989,0.00260
11.65,-0.5,0.5,1371694,-384,11.6513,0.00260
11.7,-0.5,0.5,1377956,-386,11.7045,0.00260
11.75,-0.5,0.5,1384273,-402,11.7579,0.00260
11.8,-0.5,0.5,1390498,-391,11.8106,0.00261
11.85,-0.5,0.5,1394654,-404,11.8459,0.00258
11.9,-0.5,0.5,1400836,-409,11.8981,0.00258
11.95,-0.5,0.5,1406932,-400,11.9500,0.00259
12.0,-0.5,0.5,1413182,-390,12.0030,0.00259
12.05,-0.5,0.5,1419496,-410,12.0565,0.00256
12.1,-0.5,0.5,1425738,-422,12.1094,0.00257
12.15,-0.5,0.5,1432083,-422,12.1629,0.00256
12.2,-0.5,0.5,1436397,-423,12.1998,0.00255
12.25,-0.5,0.5,1442526,-432,12.2518,0.00256
12.3,-0.5,0.5,1448717,-471,12.3043,0.00253
12.35,-0.5,0.5,1454840,-462,12.3562,0.00253
12.4,-0.5,0.5,1460773,-461,12.4065,0.00253
12.45,-0.5,0.5,1466916,-493,12.4586,0.00250
12.5,-0.5,0.5,1470902,-489,12.4929,0.00251
12.55,-0.5,0.5,1476954,-505,12.5435,0.00249
12.6,-0.5,0.5,1483045,-532,12.5959,0.00247
12.65,-0.5,0.5,1489211,-556,12.6475,0.00245
12.7,-0.5,0.5,1495264,-565,12.6990,0.00244
12.75,-0.5,0.5,1501432,-550,12.7512,0.00245
12.8,-0.5,0.5,1507560,-543,12.8032,0.00246
12.85,-0.5,0.5,1511566,-607,12.8372,0.00240
12.9,-0.5,0.5,1517727,-614,12.8894,0.00240
12.95,-0.5,0.5,1523763,-639,12.9407,0.00240
13.0,-0.5,0.5,1529823,-641,12.9920,0.00238
13.05,-0.5,0.5,1535937,-669,13.0438,0.00234
13.1,-0.5,0.5,1542081,-682,13.0959,0.00234
13.15,-0.5,0.5,1548182,-668,13.1476,0.00235
13.2,-0.5,0.5,1552198,-675,13.1820,0.00234
13.25,-0.5,0.5,1558292,-693,13.2329,0.00233
13.3,-0.5,0.5,1564677,-766,13.2875,0.00226
13.35,-0.5,0.5,1570925,-754,13.3405,0.00227
13.4,-0.5,0.5,1577185,-748,13.3935,0.00228
