set_voltage,set_current_min,set_current_max,adc_voltage,adc_current,meas_voltage,meas_current
0.0,-0.1,0.1,-2399,2074,0.0005,0.00082
0.02,-0.1,0.1,-2403,2071,0.0004,0.00081
0.04,-0.1,0.1,-418,1681,0.0173,0.00066
0.06,-0.1,0.1,1686,1334,0.0351,0.00052
0.08,-0.1,0.1,3850,1064,0.0534,0.00042
0.1,-0.1,0.1,6103,878,0.0725,0.00035
0.12,-0.1,0.1,8221,743,0.0905,0.00029
0.14,-0.1,0.1,10380,706,0.1088,0.00026
0.16,-0.1,0.1,12558,653,0.1273,0.00026
0.18,-0.1,0.1,16807,564,0.1633,0.00022
0.2,-0.1,0.1,18870,559,0.1808,0.00022
0.22,-0.1,0.1,21058,576,0.1993,0.00023
0.24,-0.1,0.1,23253,522,0.2180,0.00021
0.26,-0.1,0.1,25520,532,0.2372,0.00021
0.28,-0.1,0.1,27696,529,0.2556,0.00021
0.3,-0.1,0.1,29799,504,0.2735,0.00020
0.32,-0.1,0.1,34155,496,0.3104,0.00020
0.34,-0.1,0.1,36324,530,0.3288,0.00021
0.36,-0.1,0.1,38575,508,0.3479,0.00019
0.38,-0.1,0.1,40781,497,0.3666,0.00020
0.4,-0.1,0.1,42881,485,0.3844,0.00019
0.42,-0.1,0.1,45071,498,0.4030,0.00020
0.44,-0.1,0.1,47192,503,0.4209,0.00020
0.46,-0.1,0.1,51496,481,0.4574,0.00019
0.48,-0.1,0.1,53636,486,0.4756,0.00019
0.5,-0.1,0.1,55800,476,0.4939,0.00019
0.52,-0.1,0.1,57965,476,0.5123,0.00019
0.54,-0.1,0.1,60105,472,0.5308,0.00019
0.56,-0.1,0.1,62271,480,0.5488,0.00019
0.58,-0.1,0.1,64456,470,0.5673,0.00018
0.6,-0.1,0.1,68758,470,0.6038,0.00018
0.62,-0.1,0.1,70850,439,0.6215,0.00017
0.64,-0.1,0.1,72972,460,0.6395,0.00018
0.66,-0.1,0.1,75184,459,0.6583,0.00018
0.68,-0.1,0.1,77308,471,0.6763,0.00019
0.7,-0.1,0.1,79489,465,0.6948,0.00018
0.72,-0.1,0.1,81548,422,0.7122,0.00017
0.74,-0.1,0.1,85803,425,0.7486,0.00017
0.76,-0.1,0.1,87935,433,0.7664,0.00017
0.78,-0.1,0.1,90154,442,0.7852,0.00017
0.8,-0.1,0.1,92332,408,0.8037,0.00016
0.82,-0.1,0.1,94444,416,0.8216,0.00016
0.84,-0.1,0.1,96584,441,0.8397,0.00017
0.86,-0.1,0.1,98701,427,0.8577,0.00017
0.88,-0.1,0.1,103013,429,0.8942,0.00017
0.9,-0.1,0.1,105249,420,0.9132,0.00017
0.92,-0.1,0.1,107489,414,0.9322,0.00016
0.94,-0.1,0.1,109642,449,0.9504,0.00018
0.96,-0.1,0.1,111843,429,0.9691,0.00017
0.98,-0.1,0.1,113871,402,0.9863,0.00016
1.0,-0.1,0.1,115898,414,1.0035,0.00016
1.02,-0.1,0.1,120074,378,1.0389,0.00015
1.04,-0.1,0.1,122073,340,1.0558,0.00013
1.06,-0.1,0.1,124144,289,1.0734,0.00011
1.08,-0.1,0.1,126179,171,1.0907,0.00007
1.1,-0.1,0.1,128257,19,1.1083,0.00001
1.12,-0.1,0.1,130261,-235,1.1253,-0.00009
1.14,-0.1,0.1,132300,-632,1.1426,-0.00025
1.16,-0.1,0.1,136300,-1943,1.1765,-0.00076
1.18,-0.1,0.1,138391,-2887,1.1942,-0.00115
1.2,-0.1,0.1,140422,-3929,1.2114,-0.00155
1.22,-0.1,0.1,142429,-5026,1.2284,-0.00198
1.24,-0.1,0.1,144433,-6212,1.2454,-0.00244
1.26,-0.1,0.1,146432,-7416,1.2624,-0.00292
1.28,-0.1,0.1,148467,-8656,1.2796,-0.00341
1.3,-0.1,0.1,152446,-11044,1.3134,-0.00434
1.32,-0.1,0.1,154531,-12225,1.3310,-0.00481
1.34,-0.1,0.1,156631,-13346,1.3489,-0.00525
1.36,-0.1,0.1,158689,-14457,1.3663,-0.00569
1.38,-0.1,0.1,160756,-15426,1.3838,-0.00607
1.4,-0.1,0.1,162796,-16306,1.4011,-0.00641
1.42,-0.1,0.1,164839,-17149,1.4184,-0.00675
1.44,-0.1,0.1,168840,-18522,1.4524,-0.00729
1.46,-0.1,0.1,170870,-19087,1.4696,-0.00751
1.48,-0.1,0.1,172891,-19606,1.4867,-0.00771
1.5,-0.1,0.1,174876,-20030,1.5039,-0.00788
1.52,-0.1,0.1,176997,-20392,1.5215,-0.00802
1.54,-0.1,0.1,179043,-20707,1.5389,-0.00815
1.56,-0.1,0.1,181115,-20961,1.5564,-0.00825
1.58,-0.1,0.1,185264,-21328,1.5916,-0.00839
1.6,-0.1,0.1,187249,-21479,1.6085,-0.00845
1.62,-0.1,0.1,189381,-21614,1.6265,-0.00850
1.64,-0.1,0.1,191403,-21713,1.6437,-0.00854
1.66,-0.1,0.1,193522,-21801,1.6616,-0.00858
1.68,-0.1,0.1,195572,-21872,1.6790,-0.00861
1.7,-0.1,0.1,197544,-21934,1.6957,-0.00863
1.72,-0.1,0.1,199655,-22009,1.7136,-0.00866
1.74,-0.1,0.1,203642,-22119,1.7475,-0.00869
1.76,-0.1,0.1,205688,-22153,1.7648,-0.00871
1.78,-0.1,0.1,207749,-22218,1.7823,-0.00874
1.8,-0.1,0.1,209731,-22212,1.7991,-0.00874
1.82,-0.1,0.1,211823,-22257,1.8168,-0.00876
1.84,-0.1,0.1,213820,-22275,1.8338,-0.00876
