set_voltage,set_current_min,set_current_max,adc_voltage,adc_current,meas_voltage,meas_current
5.82,-0.1,0.1,681834,-42166,5.8020,-0.03770
5.84,-0.1,0.1,685868,-42105,5.8362,-0.03764
5.86,-0.1,0.1,687941,-42090,5.8538,-0.03764
5.88,-0.1,0.1,689980,-42075,5.8710,-0.03762
5.9,-0.1,0.1,691998,-42041,5.8882,-0.03759
5.92,-0.1,0.1,693962,-42013,5.9048,-0.03756
5.94,-0.1,0.1,696032,-42009,5.9224,-0.03756
5.96,-0.1,0.1,697997,-41950,5.9390,-0.03751
5.98,-0.1,0.1,702015,-41895,5.9731,-0.03746
6.0,-0.1,0.1,704092,-41873,5.9907,-0.03744
6.02,-0.1,0.1,706162,-41875,6.0083,-0.03744
6.04,-0.1,0.1,708148,-41820,6.0251,-0.03739
6.06,-0.1,0.1,710175,-41819,6.0423,-0.03739
6.08,-0.1,0.1,712197,-41804,6.0594,-0.03738
6.1,-0.1,0.1,714201,-41753,6.0764,-0.03733
6.12,-0.1,0.1,718279,-41719,6.1110,-0.03729
6.14,-0.1,0.1,720347,-41692,6.1285,-0.03728
6.16,-0.1,0.1,722435,-41678,6.1462,-0.03726
6.18,-0.1,0.1,724409,-41626,6.1630,-0.03722
6.2,-0.1,0.1,726461,-41634,6.1804,-0.03722
6.22,-0.1,0.1,728467,-41592,6.1974,-0.03719
6.24,-0.1,0.1,730409,-41594,6.2138,-0.03718
6.26,-0.1,0.1,734502,-41519,6.2485,-0.03712
6.28,-0.1,0.1,736619,-41506,6.2665,-0.03711
6.3,-0.1,0.1,738656,-41472,6.2838,-0.03708
6.32,-0.1,0.1,740646,-41454,6.3006,-0.03706
6.34,-0.1,0.1,742612,-41458,6.3173,-0.03707
6.36,-0.1,0.1,744685,-41401,6.3349,-0.03701
6.38,-0.1,0.1,746624,-41395,6.3513,-0.03701
6.4,-0.1,0.1,748657,-41379,6.3686,-0.03700
6.42,-0.1,0.1,752737,-41335,6.4032,-0.03696
6.44,-0.1,0.1,754812,-41321,6.4208,-0.03694
6.46,-0.1,0.1,756831,-41264,6.4379,-0.03693
6.48,-0.1,0.1,758698,-41238,6.4537,-0.03687
6.5,-0.1,0.1,760810,-41262,6.4716,-0.03689
6.52,-0.1,0.1,762718,-41228,6.4878,-0.03686
6.54,-0.1,0.1,764876,-41214,6.5061,-0.03685
6.56,-0.1,0.1,769268,-41171,6.5433,-0.03681
6.58,-0.1,0.1,771417,-41135,6.5615,-0.03678
6.6,-0.1,0.1,773414,-41122,6.5785,-0.03677
6.62,-0.1,0.1,775507,-41147,6.5962,-0.03679
6.64,-0.1,0.1,777579,-41084,6.6138,-0.03673
6.66,-0.1,0.1,779664,-41072,6.6315,-0.03672
6.68,-0.1,0.1,781841,-41019,6.6499,-0.03669
6.7,-0.1,0.1,786004,-40999,6.6852,-0.03666
6.72,-0.1,0.1,788046,-40970,6.7025,-0.03663
6.74,-0.1,0.1,790163,-40956,6.7205,-0.03662
6.76,-0.1,0.1,792234,-40933,6.7380,-0.03660
6.78,-0.1,0.1,794306,-40929,6.7556,-0.03660
6.8,-0.1,0.1,796464,-40907,6.7739,-0.03657
6.82,-0.1,0.1,798506,-40896,6.7912,-0.03656
6.84,-0.1,0.1,802738,-40843,6.8271,-0.03652
6.86,-0.1,0.1,804721,-40845,6.8439,-0.03652
6.88,-0.1,0.1,806836,-40839,6.8619,-0.03651
6.9,-0.1,0.1,808905,-40786,6.8794,-0.03647
6.92,-0.1,0.1,810976,-40799,6.8970,-0.03648
6.94,-0.1,0.1,813084,-40759,6.9148,-0.03644
6.96,-0.1,0.1,815159,-40710,6.9324,-0.03640
6.98,-0.1,0.1,819353,-40730,6.9680,-0.03642
7.0,-0.1,0.1,821483,-40728,6.9860,-0.03641
7.02,-0.1,0.1,823615,-40665,7.0041,-0.03635
7.04,-0.1,0.1,825706,-40670,7.0219,-0.03636
7.06,-0.1,0.1,827750,-40638,7.0392,-0.03633
7.08,-0.1,0.1,829824,-40618,7.0568,-0.03631
7.1,-0.1,0.1,831904,-40640,7.0744,-0.03633
7.12,-0.1,0.1,836166,-40587,7.1105,-0.03629
7.14,-0.1,0.1,838250,-40581,7.1282,-0.03628
7.16,-0.1,0.1,840360,-40589,7.1461,-0.03626
7.18,-0.1,0.1,842446,-40522,7.1638,-0.03623
7.2,-0.1,0.1,844575,-40496,7.1818,-0.03621
7.22,-0.1,0.1,846617,-40510,7.1992,-0.03622
7.24,-0.1,0.1,848721,-40493,7.2170,-0.03620
7.26,-0.1,0.1,852993,-40463,7.2532,-0.03618
7.28,-0.1,0.1,855049,-40466,7.2706,-0.03618
7.3,-0.1,0.1,857114,-40426,7.2882,-0.03613
7.32,-0.1,0.1,859193,-40426,7.3058,-0.03614
7.34,-0.1,0.1,861241,-40358,7.3231,-0.03608
7.36,-0.1,0.1,863296,-40380,7.3406,-0.03610
7.38,-0.1,0.1,865273,-40364,7.3573,-0.03609
7.4,-0.1,0.1,869536,-40340,7.3935,-0.03607
7.42,-0.1,0.1,871535,-40337,7.4104,-0.03606
7.44,-0.1,0.1,873654,-40331,7.4284,-0.03606
7.46,-0.1,0.1,875686,-40283,7.4456,-0.03602
7.48,-0.1,0.1,877828,-40255,7.4638,-0.03599
7.5,-0.1,0.1,879869,-40265,7.4811,-0.03600
7.52,-0.1,0.1,881974,-40272,7.4989,-0.03601
7.54,-0.1,0.1,886137,-40209,7.5342,-0.03595
7.56,-0.1,0.1,888308,-40225,7.5526,-0.03596
7.58,-0.1,0.1,890340,-40184,7.5699,-0.03593
7.6,-0.1,0.1,892405,-40164,7.5874,-0.03591
7.62,-0.1,0.1,894537,-40178,7.6055,-0.03592
7.64,-0.1,0.1,896629,-40188,7.6232,-0.03593
7.66,-0.1,0.1,898780,-40137,7.6414,-0.03588
7.68,-0.1,0.1,903078,-40103,7.6779,-0.03585
7.7,-0.1,0.1,905162,-40110,7.6955,-0.03586
7.72,-0.1,0.1,907228,-40067,7.7131,-0.03582
7.74,-0.1,0.1,909322,-40096,7.7308,-0.03585
7.76,-0.1,0.1,911353,-40057,7.7480,-0.03581
7.78,-0.1,0.1,913404,-40066,7.7654,-0.03582
7.8,-0.1,0.1,915451,-40022,7.7828,-0.03578
7.82,-0.1,0.1,919602,-40011,7.8180,-0.03577
7.84,-0.1,0.1,921675,-40013,7.8356,-0.03577
7.86,-0.1,0.1,923661,-39997,7.8524,-0.03576
7.88,-0.1,0.1,925752,-40002,7.8701,-0.03574
7.9,-0.1,0.1,927846,-39970,7.8879,-0.03574
7.92,-0.1,0.1,929820,-39946,7.9046,-0.03571
7.94,-0.1,0.1,931868,-39965,7.9220,-0.03573
7.96,-0.1,0.1,933904,-39925,7.9392,-0.03570
7.98,-0.1,0.1,938013,-39923,7.9741,-0.03569
8.0,-0.1,0.1,940060,-39905,7.9914,-0.03568
8.02,-0.1,0.1,942074,-39919,8.0085,-0.03569
8.04,-0.1,0.1,944152,-39862,8.0261,-0.03564
8.06,-0.1,0.1,946208,-39869,8.0436,-0.03565
8.08,-0.1,0.1,948316,-39869,8.0614,-0.03565
8.1,-0.1,0.1,950355,-39838,8.0787,-0.03562
8.12,-0.1,0.1,954548,-39801,8.1143,-0.03558
8.14,-0.1,0.1,956598,-39808,8.1317,-0.03559
8.16,-0.1,0.1,958684,-39794,8.1494,-0.03558
8.18,-0.1,0.1,960697,-39787,8.1664,-0.03557
8.2,-0.1,0.1,962695,-39769,8.1834,-0.03556
8.22,-0.1,0.1,964718,-39795,8.2005,-0.03558
8.24,-0.1,0.1,966786,-39785,8.2180,-0.03557
8.26,-0.1,0.1,971005,-39736,8.2538,-0.03553
8.28,-0.1,0.1,973008,-39722,8.2708,-0.03551
8.3,-0.1,0.1,975064,-39724,8.2882,-0.03552
8.32,-0.1,0.1,977088,-39700,8.3054,-0.03549
8.34,-0.1,0.1,979136,-39696,8.3228,-0.03549
8.36,-0.1,0.1,981314,-39714,8.3412,-0.03551
8.38,-0.1,0.1,983346,-39729,8.3585,-0.03552
8.4,-0.1,0.1,987493,-39652,8.3936,-0.03545
8.42,-0.1,0.1,989590,-39666,8.4114,-0.03544
8.44,-0.1,0.1,991613,-39657,8.4286,-0.03546
8.46,-0.1,0.1,993689,-39687,8.4462,-0.03548
8.48,-0.1,0.1,995672,-39641,8.4630,-0.03542
8.5,-0.1,0.1,997740,-39614,8.4805,-0.03542
8.52,-0.1,0.1,999848,-39608,8.4984,-0.03541
8.54,-0.1,0.1,1004030,-39576,8.5339,-0.03538
8.56,-0.1,0.1,1006109,-39583,8.5515,-0.03539
8.58,-0.1,0.1,1008129,-39541,8.5686,-0.03535
8.6,-0.1,0.1,1010130,-39546,8.5856,-0.03536
8.62,-0.1,0.1,1012229,-39528,8.6034,-0.03534
8.64,-0.1,0.1,1014267,-39537,8.6206,-0.03535
8.66,-0.1,0.1,1016330,-39520,8.6381,-0.03533
8.68,-0.1,0.1,1020507,-39532,8.6735,-0.03534
8.7,-0.1,0.1,1022598,-39515,8.6913,-0.03533
8.72,-0.1,0.1,1024654,-39512,8.7087,-0.03533
8.74,-0.1,0.1,1026719,-39520,8.7262,-0.03533
8.76,-0.1,0.1,1028771,-39519,8.7436,-0.03533
8.78,-0.1,0.1,1030809,-39478,8.7609,-0.03530
8.8,-0.1,0.1,1032890,-39474,8.7785,-0.03529
8.82,-0.1,0.1,1037371,-39442,8.8165,-0.03526
8.84,-0.1,0.1,1039515,-39469,8.8347,-0.03529
8.86,-0.1,0.1,1041605,-39439,8.8524,-0.03527
8.88,-0.1,0.1,1043698,-39431,8.8702,-0.03525
8.9,-0.1,0.1,1045913,-39400,8.8890,-0.03523
8.92,-0.1,0.1,1048013,-39392,8.9068,-0.03522
8.94,-0.1,0.1,1050133,-39416,8.9247,-0.03524
8.96,-0.1,0.1,1054302,-39388,8.9601,-0.03522
8.98,-0.1,0.1,1056516,-39397,8.9789,-0.03522
9.0,-0.1,0.1,1058676,-39378,8.9972,-0.03520
9.02,-0.1,0.1,1060714,-39390,9.0145,-0.03522
9.04,-0.1,0.1,1062745,-39375,9.0317,-0.03520
9.06,-0.1,0.1,1064912,-39356,9.0500,-0.03519
9.08,-0.1,0.1,1067084,-39352,9.0685,-0.03518
9.1,-0.1,0.1,1071324,-39359,9.1044,-0.03515
9.12,-0.1,0.1,1073378,-39355,9.1218,-0.03519
9.14,-0.1,0.1,1075513,-39325,9.1399,-0.03516
9.16,-0.1,0.1,1077574,-39322,9.1574,-0.03514
9.18,-0.1,0.1,1079716,-39308,9.1756,-0.03514
9.2,-0.1,0.1,1081837,-39345,9.1936,-0.03518
9.22,-0.1,0.1,1084019,-39293,9.2121,-0.03516
9.24,-0.1,0.1,1088274,-39300,9.2481,-0.03514
9.26,-0.1,0.1,1090364,-39293,9.2659,-0.03513
9.28,-0.1,0.1,1092556,-39302,9.2844,-0.03513
9.3,-0.1,0.1,1094608,-39281,9.3018,-0.03512
9.32,-0.1,0.1,1096742,-39254,9.3199,-0.03510
9.34,-0.1,0.1,1098898,-39260,9.3382,-0.03510
9.36,-0.1,0.1,1101095,-39257,9.3568,-0.03510
9.38,-0.1,0.1,1105289,-39240,9.3924,-0.03508
9.4,-0.1,0.1,1107451,-39229,9.4107,-0.03507
9.42,-0.1,0.1,1109556,-39250,9.4286,-0.03509
9.44,-0.1,0.1,1111668,-39216,9.4465,-0.03506
9.46,-0.1,0.1,1113777,-39209,9.4644,-0.03506
9.48,-0.1,0.1,1115927,-39225,9.4826,-0.03507
9.5,-0.1,0.1,1118110,-39204,9.5011,-0.03505
9.52,-0.1,0.1,1120223,-39221,9.5190,-0.03506
9.54,-0.1,0.1,1124455,-39211,9.5549,-0.03506
9.56,-0.1,0.1,1126512,-39173,9.5723,-0.03502
9.58,-0.1,0.1,1128624,-39164,9.5903,-0.03501
9.6,-0.1,0.1,1130693,-39172,9.6078,-0.03502
9.62,-0.1,0.1,1132847,-39184,9.6261,-0.03503
9.64,-0.1,0.1,1134979,-39170,9.6441,-0.03502
9.66,-0.1,0.1,1137105,-39181,9.6622,-0.03503
9.68,-0.1,0.1,1141265,-39168,9.6974,-0.03502
9.7,-0.1,0.1,1143385,-39142,9.7154,-0.03500
9.72,-0.1,0.1,1145476,-39140,9.7334,-0.03499
9.74,-0.1,0.1,1147604,-39133,9.7512,-0.03499
9.76,-0.1,0.1,1149639,-39123,9.7684,-0.03498
9.78,-0.1,0.1,1151797,-39132,9.7867,-0.03499
9.8,-0.1,0.1,1153953,-39134,9.8050,-0.03499
9.82,-0.1,0.1,1158164,-39146,9.8407,-0.03500
9.84,-0.1,0.1,1160286,-39092,9.8587,-0.03495
9.86,-0.1,0.1,1162451,-39100,9.8771,-0.03496
9.88,-0.1,0.1,1164621,-39089,9.8955,-0.03495
9.9,-0.1,0.1,1166769,-39071,9.9137,-0.03495
9.92,-0.1,0.1,1168897,-39105,9.9317,-0.03496
9.94,-0.1,0.1,1171121,-39074,9.9506,-0.03493
9.96,-0.1,0.1,1175172,-39113,9.9849,-0.03497
9.98,-0.1,0.1,1177231,-39085,10.0024,-0.03494
10.0,-0.1,0.1,1179268,-39048,10.0197,-0.03492
10.02,-0.1,0.1,1181230,-39057,10.0363,-0.03492
10.04,-0.1,0.1,1183256,-39074,10.0535,-0.03491
10.06,-0.1,0.1,1185249,-39067,10.0704,-0.03493
10.08,-0.1,0.1,1187224,-39054,10.0871,-0.03492
10.1,-0.1,0.1,1191189,-39023,10.1207,-0.03489
10.12,-0.1,0.1,1193235,-39060,10.1381,-0.03492
10.14,-0.1,0.1,1195286,-39087,10.1555,-0.03491
10.16,-0.1,0.1,1197224,-39057,10.1719,-0.03492
10.18,-0.1,0.1,1199237,-39030,10.1890,-0.03491
10.2,-0.1,0.1,1201198,-39021,10.2056,-0.03489
10.22,-0.1,0.1,1203344,-38989,10.2238,-0.03486
10.24,-0.1,0.1,1207228,-39024,10.2567,-0.03489
10.26,-0.1,0.1,1209250,-39032,10.2739,-0.03490
10.28,-0.1,0.1,1211235,-38993,10.2907,-0.03486
10.3,-0.1,0.1,1213273,-38984,10.3080,-0.03485
10.32,-0.1,0.1,1215285,-39029,10.3250,-0.03489
10.34,-0.1,0.1,1217369,-39011,10.3427,-0.03488
10.36,-0.1,0.1,1219381,-39021,10.3598,-0.03489
10.38,-0.1,0.1,1223418,-39005,10.3940,-0.03487
10.4,-0.1,0.1,1225380,-38981,10.4106,-0.03485
10.42,-0.1,0.1,1227451,-39000,10.4282,-0.03487
10.44,-0.1,0.1,1229391,-38977,10.4446,-0.03483
10.46,-0.1,0.1,1231389,-38968,10.4617,-0.03484
10.48,-0.1,0.1,1233414,-38979,10.4788,-0.03485
10.5,-0.1,0.1,1235468,-38987,10.4962,-0.03486
10.52,-0.1,0.1,1239568,-38973,10.5309,-0.03484
10.54,-0.1,0.1,1241618,-38967,10.5483,-0.03485
10.56,-0.1,0.1,1243632,-38978,10.5654,-0.03485
10.58,-0.1,0.1,1245572,-38958,10.5818,-0.03483
10.6,-0.1,0.1,1247695,-38940,10.5998,-0.03481
10.62,-0.1,0.1,1249710,-38976,10.6169,-0.03485
10.64,-0.1,0.1,1251680,-38943,10.6336,-0.03482
10.66,-0.1,0.1,1255723,-38962,10.6679,-0.03480
10.68,-0.1,0.1,1257806,-38955,10.6856,-0.03483
10.7,-0.1,0.1,1259811,-38936,10.7026,-0.03481
10.72,-0.1,0.1,1261793,-38936,10.7194,-0.03481
10.74,-0.1,0.1,1263809,-38935,10.7365,-0.03481
10.76,-0.1,0.1,1265835,-38930,10.7536,-0.03481
