set_voltage,set_current_min,set_current_max,adc_voltage,adc_current,meas_voltage,meas_current,ref_voltage,ref_current
1.0,-0.1,0.2,84548,89520,0.8040,0.08004,0.885,
2.0,-0.1,0.4,193988,182542,1.8449,0.16320,1.925,
4.0,-0.1,0.6,409221,382615,3.8917,0.34210,3.962,
6.0,-0.1,1.0,623743,613957,5.9322,0.54891,6.00,
8.0,-0.1,1.0,838495,841943,7.9745,0.75275,8.04,
1.0,-0.1,0.2,84679,89787,0.8053,0.08034,.885,
