set_voltage,set_current_min,set_current_max,adc_voltage,adc_current,meas_voltage,meas_current
16.75,-0.5,0.5,1975418,375528,16.7701,0.33600
16.8,-0.5,0.5,1981558,376727,16.8222,0.33707
16.85,-0.5,0.5,1987544,377910,16.8731,0.33811
16.9,-0.5,0.5,1993625,379079,16.9245,0.33915
16.95,-0.5,0.5,1997713,379856,16.9591,0.33984
17.0,-0.5,0.5,2003816,381030,17.0109,0.34088
17.05,-0.5,0.5,2009854,382180,17.0621,0.34190
17.1,-0.5,0.5,2016067,383424,17.1149,0.34300
17.15,-0.5,0.5,2022143,384419,17.1663,0.34389
17.2,-0.5,0.5,2028264,385600,17.2182,0.34493
17.25,-0.5,0.5,2032437,386399,17.2536,0.34567
17.3,-0.5,0.5,2038587,387643,17.3058,0.34675
17.35,-0.5,0.5,2044750,388806,17.3580,0.34778
17.4,-0.5,0.5,2050929,389987,17.4104,0.34885
17.45,-0.5,0.5,2056976,391187,17.4616,0.34989
17.5,-0.5,0.5,2063157,392334,17.5140,0.35091
17.55,-0.5,0.5,2069284,393492,17.5660,0.35195
17.6,-0.5,0.5,2073385,394319,17.6008,0.35269
17.65,-0.5,0.5,2079691,395482,17.6542,0.35370
17.7,-0.5,0.5,2085766,396704,17.7057,0.35480
17.75,-0.5,0.5,2091854,397855,17.7574,0.35580
17.8,-0.5,0.5,2098390,399179,17.8129,0.35698
17.85,-0.5,0.5,2104861,400404,17.8676,0.35806
17.9,-0.5,0.5,2111394,401691,17.9230,0.35921
17.95,-0.5,0.5,2115624,402257,17.9589,0.35971
18.0,-0.5,0.5,2122097,403560,18.0133,0.36086
18.05,-0.5,0.5,2128476,404769,18.0679,0.36194
18.1,-0.5,0.5,2134940,406037,18.1227,0.36306
18.15,-0.5,0.5,2141261,407261,18.1763,0.36415
18.2,-0.5,0.5,2147795,408524,18.2317,0.36527
18.25,-0.5,0.5,2154282,409839,18.2867,0.36643
18.3,-0.5,0.5,2158664,410679,18.3238,0.36718
18.35,-0.5,0.5,2165157,411617,18.3789,0.36802
18.4,-0.5,0.5,2171524,412897,18.4329,0.36914
18.45,-0.5,0.5,2177913,414110,18.4870,0.37022
18.5,-0.5,0.5,2184500,415376,18.5429,0.37134
18.55,-0.5,0.5,2190878,416638,18.5970,0.37247
18.6,-0.5,0.5,2197356,417889,18.6519,0.37357
18.65,-0.5,0.5,2201540,418719,18.6874,0.37429
18.7,-0.5,0.5,2207944,419947,18.7417,0.37540
18.75,-0.5,0.5,2214336,421226,18.7959,0.37650
18.8,-0.5,0.5,2220780,422078,18.8505,0.37729
18.85,-0.5,0.5,2227299,423356,18.9058,0.37842
18.9,-0.5,0.5,2233901,424646,18.9617,0.37957
18.95,-0.5,0.5,2238045,425465,18.9971,0.38029
19.0,-0.5,0.5,2244151,426625,19.0487,0.38132
19.05,-0.5,0.5,2250336,427835,19.1011,0.38239
