UsbSMU Set Voltage,UsbSMU Set Current Min,UsbSMU Set Current Max,UsbSMU Meas ADC Voltage,UsbSMU Meas ADC Current,UsbSMU Meas Voltage,UsbSMU Meas Current
0.0,-0.3,0.3,13215.0,-16246.0,0.013503357768058777,0.00011609699868131429
0.2,-0.3,0.3,26441.0,-8456.0,0.10458245128393173,0.00203065387904644
0.4,-0.3,0.3,52249.0,6292.0,0.2827741205692291,0.005640507210046053
0.6000000000000001,-0.3,0.3,80419.0,22295.0,0.4762948155403137,0.009557065553963184
0.8,-0.3,0.3,105844.0,36785.0,0.651380717754364,0.013103734701871872
1.0,-0.3,0.3,132382.0,51349.0,0.8341311812400818,0.016648883000016212
1.2,-0.3,0.3,159328.0,67376.0,1.0196912288665771,0.020595243200659752
1.4000000000000001,-0.3,0.3,185350.0,82149.0,1.1992464065551758,0.02420813776552677
1.6,-0.3,0.3,211560.0,97082.0,1.3793801069259644,0.02786412462592125
1.8,-0.3,0.3,240219.0,113320.0,1.5767364501953125,0.03183531016111374
2.0,-0.3,0.3,266186.0,128142.0,1.7555547952651978,0.035464055836200714
2.2,-0.3,0.3,292045.0,142861.0,1.9336292743682861,0.0390661358833313
2.4,-0.3,0.3,320808.0,159308.0,2.131701946258545,0.0430937260389328
2.6,-0.3,0.3,346899.0,174219.0,2.3113741874694824,0.04674489423632622
2.8000000000000003,-0.3,0.3,372622.0,188886.0,2.4885122776031494,0.05033513903617859
3.0,-0.3,0.3,400746.0,204804.0,2.6821844577789307,0.054227475076913834
3.2,-0.3,0.3,426205.0,219409.0,2.8575046062469482,0.05780563876032829
3.4000000000000004,-0.3,0.3,451955.0,234062.0,3.0348284244537354,0.061391431838274
3.6,-0.3,0.3,480280.0,250308.0,3.229884624481201,0.06537152826786041
3.8000000000000003,-0.3,0.3,506573.0,265192.0,3.4109480381011963,0.06901110708713531
4.0,-0.3,0.3,533120.0,280336.0,3.5937604904174805,0.07271836698055267
4.2,-0.3,0.3,562392.0,296998.0,3.7953381538391113,0.07679595053195953
4.4,-0.3,0.3,589322.0,312312.0,3.980788230895996,0.08054312318563461
4.6000000000000005,-0.3,0.3,614189.0,327758.0,4.152031421661377,0.08436843752861023
4.8,-0.3,0.3,646154.0,344733.0,4.372154235839844,0.08847982436418533
5.0,-0.3,0.3,673623.0,360391.0,4.561316013336182,0.09231249243021011
5.2,-0.3,0.3,701215.0,376172.0,4.7513251304626465,0.0961771085858345
5.4,-0.3,0.3,731450.0,393450.0,4.959534168243408,0.10040783882141113
5.6000000000000005,-0.3,0.3,759154.0,409143.0,5.150313854217529,0.10424559563398361
5.800000000000001,-0.3,0.3,789668.0,426618.0,5.36044454574585,0.10852586477994919
6.0,-0.3,0.3,817930.0,442649.0,5.555067539215088,0.11244706064462662
6.2,-0.3,0.3,845967.0,458654.0,5.74813985824585,0.1163654699921608
6.4,-0.3,0.3,878396.0,477117.0,5.971458435058594,0.12088394910097122
6.6000000000000005,-0.3,0.3,907754.0,493981.0,6.173628330230713,0.12501634657382965
6.800000000000001,-0.3,0.3,937460.0,510835.0,6.378194332122803,0.1291389763355255
7.0,-0.3,0.3,970026.0,529544.0,6.602456092834473,0.13372354209423065
7.2,-0.3,0.3,998014.0,546616.0,6.795191764831543,0.13794150948524475
7.4,-0.3,0.3,1031740.0,563872.0,7.027441024780273,0.1420963555574417
7.6000000000000005,-0.3,0.3,1064619.0,583009.0,7.252893924713135,0.14679720997810364
7.800000000000001,-0.3,0.3,1094508.0,600332.0,7.4596848487854,0.15104463696479797
8.0,-0.3,0.3,1124824.0,618054.0,7.66845178604126,0.15539796650409698
8.200000000000001,-0.3,0.3,1159267.0,638878.0,7.9056396484375,0.16053684055805206
8.4,-0.3,0.3,1282436.0,701634.0,8.753827095031738,0.17563673853874207
8.6,-0.3,0.3,1310188.0,717148.0,8.944936752319336,0.1794234663248062
8.8,-0.3,0.3,1341185.0,734772.0,9.158393859863281,0.18373578786849976
9.0,-0.3,0.3,1369660.0,750771.0,9.354483604431152,0.18764378130435944
9.200000000000001,-0.3,0.3,1398340.0,766772.0,9.551984786987305,0.19154822826385498
9.4,-0.3,0.3,1429695.0,784698.0,9.767906188964844,0.1959378868341446
9.6,-0.3,0.3,1458170.0,800797.0,9.963995933532715,0.19987386465072632
9.8,-0.3,0.3,1486798.0,817226.0,10.161138534545898,0.20389911532402039
10.0,-0.3,0.3,1518224.0,835348.0,10.377549171447754,0.20834219455718994
10.200000000000001,-0.3,0.3,1546141.0,851569.0,10.569686889648438,0.21232376992702484
10.4,-0.3,0.3,1573741.0,867738.0,10.759860038757324,0.2162964791059494
10.600000000000001,-0.3,0.3,1604325.0,883254.0,10.970473289489746,0.22002720832824707
10.8,-0.3,0.3,1603315.0,882290.0,10.959392547607422,0.21978959441184998
11.0,-0.3,0.3,1602581.0,882195.0,10.958462715148926,0.21976570785045624
10.8,-0.3,0.3,1603153.0,882175.0,10.962401390075684,0.21974869072437286
10.6,-0.3,0.3,1602547.0,882287.0,10.958229064941406,0.2197921723127365
10.4,-0.3,0.3,1573720.0,867504.0,10.759716033935547,0.21623142063617706
10.2,-0.3,0.3,1546058.0,851447.0,10.56922435760498,0.21229097247123718
10.0,-0.3,0.3,1518191.0,835137.0,10.37732219696045,0.20828382670879364
9.8,-0.3,0.3,1486744.0,817269.0,10.161255836486816,0.20391079783439636
9.6,-0.3,0.3,1458180.0,800945.0,9.964064598083496,0.1999150812625885
9.4,-0.3,0.3,1429823.0,784685.0,9.768787384033203,0.19593170285224915
9.2,-0.3,0.3,1398452.0,767056.0,9.552755355834961,0.1916254609823227
9.0,-0.3,0.3,1369739.0,750993.0,9.355027198791504,0.18770430982112885
8.8,-0.3,0.3,1341075.0,735004.0,9.157636642456055,0.18380288779735565
8.6,-0.3,0.3,1310037.0,717365.0,8.943897247314453,0.1794871985912323
8.4,-0.3,0.3,1282385.0,701911.0,8.753475189208984,0.17571526765823364
8.2,-0.3,0.3,1254764.0,686423.0,8.56326675415039,0.17193320393562317
8.0,-0.3,0.3,1224358.0,669357.0,8.353879928588867,0.16776522994041443
7.8,-0.3,0.3,1196821.0,653876.0,8.164250373840332,0.16398344933986664
7.6,-0.3,0.3,1169144.0,638336.0,7.973655700683594,0.16018794476985931
7.3999999999999995,-0.3,0.3,1137804.0,620732.0,7.757836818695068,0.15588808059692383
7.2,-0.3,0.3,1108993.0,604609.0,7.559433937072754,0.1519521027803421
7.0,-0.3,0.3,1080210.0,588323.0,7.361223220825195,0.14796996116638184
6.8,-0.3,0.3,1048320.0,570519.0,7.141617298126221,0.14362511038780212
6.6,-0.3,0.3,1019503.0,554340.0,6.943172931671143,0.13967359066009521
6.3999999999999995,-0.3,0.3,990632.0,538155.0,6.744357109069824,0.13572145998477936
6.199999999999999,-0.3,0.3,958433.0,520094.0,6.522622585296631,0.13131088018417358
6.0,-0.3,0.3,930440.0,504441.0,6.329852104187012,0.1274900883436203
5.8,-0.3,0.3,902213.0,488683.0,6.135470867156982,0.12364457547664642
5.6,-0.3,0.3,871171.0,471257.0,5.921704292297363,0.11938857287168503
5.3999999999999995,-0.3,0.3,843088.0,455409.0,5.728314399719238,0.11551499366760254
5.199999999999999,-0.3,0.3,812156.0,438023.0,5.515305042266846,0.11126798391342163
5.0,-0.3,0.3,783620.0,422061.0,5.318796157836914,0.10737155377864838
4.8,-0.3,0.3,755110.0,406112.0,5.12246561050415,0.10347826033830643
4.6,-0.3,0.3,723810.0,388512.0,4.906922340393066,0.09917870908975601
4.3999999999999995,-0.3,0.3,695027.0,372653.0,4.708091735839844,0.09531784802675247
4.199999999999999,-0.3,0.3,665263.0,356449.0,4.503746032714844,0.09137643873691559
3.9999999999999996,-0.3,0.3,631919.0,337969.0,4.274127006530762,0.08687148243188858
3.7999999999999994,-0.3,0.3,601238.0,321097.0,4.0628461837768555,0.08276326954364777
3.5999999999999996,-0.3,0.3,570052.0,304015.0,3.848087787628174,0.07860638201236725
3.3999999999999995,-0.3,0.3,534847.0,285197.0,3.6056532859802246,0.07404402643442154
3.1999999999999997,-0.3,0.3,425510.0,219230.0,2.8527185916900635,0.05776943638920784
2.9999999999999996,-0.3,0.3,399910.0,204615.0,2.6766340732574463,0.05419068783521652
2.7999999999999994,-0.3,0.3,371730.0,188533.0,2.4823696613311768,0.050254181027412415
2.5999999999999996,-0.3,0.3,346477.0,173961.0,2.3084681034088135,0.046681128442287445
2.3999999999999995,-0.3,0.3,320010.0,158980.0,2.126206636428833,0.043017882853746414
2.1999999999999993,-0.3,0.3,291100.0,142541.0,1.927121639251709,0.03899546340107918
1.9999999999999996,-0.3,0.3,265150.0,127693.0,1.7484204769134521,0.035359110683202744
1.7999999999999994,-0.3,0.3,239231.0,112954.0,1.5699326992034912,0.031752634793519974
1.5999999999999994,-0.3,0.3,210523.0,96607.0,1.3722388744354248,0.027751922607421875
1.3999999999999995,-0.3,0.3,184317.0,81707.0,1.1917747259140015,0.024106130003929138
1.1999999999999995,-0.3,0.3,158313.0,66890.0,1.0127016305923462,0.02047952450811863
