set_voltage,set_current_min,set_current_max,adc_voltage,adc_current,meas_voltage,meas_current,ref_voltage,ref_current
1.0,-0.1,0.5,116028,24054,1.0045,0.02151,.020,
2.0,-0.1,0.5,232318,46690,1.9906,0.04176,.040,
4.0,-0.1,0.5,469391,90624,4.0007,0.08102,.081,
8.0,-0.1,0.5,940221,178999,7.9928,0.16002,.160,
12.0,-0.1,0.5,1413137,268651,12.0026,0.24019,.241,
16.0,-0.1,0.75,1885133,356306,16.0046,0.31857,.321,
20.0,-0.1,0.75,2361039,445040,20.0397,0.39784,.402,
1.0,-0.1,0.5,116097,23975,1.0050,0.02144,.020,
