set_voltage,set_current_min,set_current_max,adc_voltage,adc_current,meas_voltage,meas_current,ref_voltage,ref_current
3,-0.1,0.2,268545,226831,2.2978,0.20280,.223,
6,-0.1,0.5,664648,571264,5.6563,0.51074,.547,
9,-0.1,0.8,1033421,915178,8.7830,0.81822,.850,
11,-0.1,1,1276532,1142899,10.8443,1.02182,1.052,
16,-0.1,1.5,1876569,1711111,15.9320,1.52983,1.555,
