set_voltage,set_current_min,set_current_max,adc_voltage,adc_current,meas_voltage,meas_current,ref_voltage,ref_current
3,-0.1,0.1,54766,113118,0.4852,0.10113,.010,
3,-0.1,0.2,112482,226920,0.9745,0.20288,.020,
3,-0.1,0.3,182029,342550,1.5642,0.30626,.032,
3,-0.1,0.5,305187,571198,2.6084,0.51068,.053,
6,-0.1,1.0,599654,1142635,5.1052,1.02158,.103,
8.5,-0.1,1.5,886357,1710746,7.5361,1.52951,.151,
11,-0.1,2.0,1175735,2282311,9.9897,2.04052,.200,
13.5,-0.1,2.5,1464807,2852820,12.4407,2.55059,.250,
16,-0.1,3.0,1754961,3425233,14.9009,3.06236,.299,
