set_voltage,set_current_min,set_current_max,adc_voltage,adc_current,meas_voltage,meas_current,ref_voltage,ref_current
1.0,-0.1,0.1,89930,17500,0.8137,0.01566,.782,
2.0,-0.1,0.1,201384,16936,1.8221,0.01514,1.728,
4.0,-0.1,0.1,424900,33635,3.8437,0.03007,3.625,
8.0,-0.1,0.3,869272,127156,7.8652,0.11368,7.39,
12.0,-0.1,0.5,1315026,213768,11.8983,0.19112,11.17,
16.0,-0.1,0.5,1762008,298838,15.9426,0.26718,14.96,
20.0,-0.1,0.5,2213998,383336,20.0322,0.34272,18.8,
1.0,-0.1,0.1,89934,18034,0.8137,0.01612,0.783,
