Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x24","Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal",150.450000,-100.000000,-90.000000,top
"J2","Conn_01x24","Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal",158.500000,-100.000000,90.000000,top
