Id,Designator,Footprint,Quantity,Designation,Supplier and Ref,JLCPCB Part #
1,J1,Connector_FFC-FPC:Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,,,C262669
2,J2,Connector_FFC-FPC:Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,,,C262669
